address_neighborhood,pricingInfos_price,predict_price,variacao
Jard Paulista,2085999.0,0.0,-1.0
Jard. Paulista,3430000.0,0.0,-1.0
Jardim  Independencia,419650.0,267777.8220304462,-0.36190200874431977
Jardim AM Rica,686000.0,0.0,-1.0
Jardim Adelfiore,139300.0,221079.45376039855,0.587074327066752
Jardim Adhemar de Barros,601930.0,285036.0306041398,-0.5264631591644546
Jardim Adutora,207760.0,0.0,-1.0
Jardim Aeroporto,439250.0,516540.87507041823,0.17596101325080982
Jardim Alfredo,185500.0,0.0,-1.0
Jardim Almanara,558600.0,0.0,-1.0
Jardim Alto Pedroso,410200.0,0.0,-1.0
Jardim Alvina,258999.0,0.0,-1.0
Jardim Alvorada,294000.0,0.0,-1.0
Jardim Alvorada (Zona Oeste),406000.0,0.0,-1.0
Jardim Alzira,413000.0,0.0,-1.0
Jardim Amaralina,203000.0,221876.22554612448,0.0929863327395295
Jardim America,1344000.0,920260.0829571473,-0.31528267637117013
Jardim Ampliacao,454300.0,526135.88357936,0.15812433101333911
Jardim Ampliação,482999.0,518938.5657174245,0.0744091928087316
Jardim América,2558500.0,802335.0575741204,-0.6864041205494937
Jardim América da Penha,210000.0,333683.44862074114,0.5889688029559101
Jardim Ana Maria,346500.0,0.0,-1.0
Jardim Ana Rosa,320950.0,0.0,-1.0
Jardim Analia Franco,892500.0,749066.4292548412,-0.16070988318785306
Jardim Andaraí,1141000.0,318536.986232539,-0.720826480076653
Jardim Angela (Zona Leste),202475.0,212299.50455742635,0.04852206226658273
Jardim Anhanguera,297500.0,0.0,-1.0
Jardim Anhangüera,280000.0,0.0,-1.0
Jardim Antartica,129499.0,241233.55096427875,0.8628217280772728
Jardim Antártica,133000.0,221137.9695109221,0.662691500082121
Jardim Anália Franco,1155000.0,833375.4296776932,-0.27846283144788475
Jardim Aricanduva,285250.0,209342.95161985952,-0.26610709335719707
Jardim Arize,244999.0,213191.62655709605,-0.12982654395693027
Jardim Arpoador,455000.0,371607.0929527401,-0.18328111438958228
